Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Machine Learning Engineer,Full-Time,Intermediate,United States,135000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,126900,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,77900,Medium,2023
Data Engineer,Full-Time,Intermediate,United Kingdom,110736,Medium,2023
Data Engineer,Full-Time,Intermediate,United Kingdom,92280,Medium,2023
Data Analyst,Full-Time,Expert,United States,169000,Medium,2023
Data Analyst,Full-Time,Expert,United States,110600,Medium,2023
AI Research Engineer,Full-Time,Junior,Switzerland,24322,Large,2023
Data Science Manager,Full-Time,Expert,India,43779,Large,2023
Data Scientist,Full-Time,Expert,United States,168000,Medium,2023
Data Scientist,Full-Time,Expert,United States,130000,Medium,2023
Data Scientist,Full-Time,Junior,United States,150000,Medium,2023
Data Scientist,Full-Time,Junior,United States,140000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,200000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,150000,Medium,2023
Data Modeler,Full-Time,Expert,United States,195000,Medium,2023
Data Modeler,Full-Time,Expert,United States,160000,Medium,2023
Data Operations Analyst,Full-Time,Expert,United States,154000,Medium,2023
Data Operations Analyst,Full-Time,Expert,United States,82000,Medium,2023
Data Science Manager,Full-Time,Expert,United States,160000,Medium,2023
Data Science Manager,Full-Time,Expert,United States,145000,Medium,2023
AI Engineer,Full-Time,Expert,United States,239400,Medium,2023
AI Engineer,Full-Time,Expert,United States,136800,Medium,2023
Decision Scientist,Full-Time,Expert,United States,204500,Medium,2023
Decision Scientist,Full-Time,Expert,United States,142200,Medium,2023
Data Scientist,Full-Time,Expert,United States,230000,Medium,2023
Data Scientist,Full-Time,Expert,United States,164000,Medium,2023
Data Engineer,Full-Time,Expert,United States,169000,Medium,2023
Data Engineer,Full-Time,Expert,United States,91000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,323300,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,184700,Medium,2023
Data Engineer,Full-Time,Expert,United States,120000,Medium,2023
Research Scientist,Full-Time,Expert,United States,210000,Medium,2023
Research Scientist,Full-Time,Expert,United States,136000,Medium,2023
Data Engineer,Full-Time,Expert,United States,171250,Medium,2023
Data Engineer,Full-Time,Expert,United States,113750,Medium,2023
Data Scientist,Full-Time,Expert,United States,136000,Medium,2023
Data Scientist,Full-Time,Expert,United States,104000,Medium,2023
